,Internal.ID,Question,answer,answer_clean
81,25367589,X23,all you've mentioned above -- specifically backups. Also IP concerns around policies for commercial cloud offerings.,all of the above
82,25232183,X23,"Medical data of patients is very sensitive to be on the commercial cloud. Also, it is tedious and sometimes impractical to move large (in 100s of GBs) datasets to commercial clouds.",Security and privacy
83,25275366,X23,Storage space,Storage space
84,25086851,X23,"Security, Privacy",Security and privacy
85,25113679,X23,"Data breaches (safety/security), backups",Security and privacy
86,25146089,X23,Security; Using American Servers rather than Canadian,Security and privacy
87,25398463,X23,safety/security,Security and privacy
88,25086970,X23,storage and bandwidth charges,Storage space
89,25189499,X23,security,Security and privacy
90,24966521,X23,American servers,Security and privacy
91,25059171,X23,"All of these are concerns, and I feel they are addressed by my current cloud storage services of choice.",all of the above
92,25080064,X23,I don't but I know researchers at my institution do (need secure places to store data they are working on),Security and privacy
93,25107355,X23,"safety, backups and size available/cost efficient",Backups
93,25107355,X23,"safety, backups and size available/cost efficient",Security and privacy
94,25127861,X23,Loss of such data is not covered by my institution's insurance policy.,Backups
95,25152545,X23,cost to use,Costs
96,25270225,X23,"security, backups",Backups
96,25270225,X23,"security, backups",Security and privacy
97,25298749,X23,costs of hosting,Costs
98,24967276,X23,abc,NA
99,24984524,X38,Lack of backup.,Backups
100,25035982,X38,Security,Security and privacy
101,25043611,X38,Regular backups,Backups
102,25079065,X38,Privacy and security foremost,Security and privacy
103,25187254,X38,I want data to be available for decades after the project finishes and people retire!,Long term maitenance
104,25277171,X38,Somewhat worried by some of the problems we've experienced with volumes going down.,Other
105,25290657,X38,Unclear access,Other
106,25181610,X38,I don't currently use it in this way. But I would like to.,NA
107,25201141,X38,Sécurité,Security and privacy
108,25222828,X38,"pas assez d'allocation de base, surtout avec les mégadonnées qui s'accumulent",Storage space
109,25232175,X38,La catastrophe à l'ETS en mars 2022 nous a fait réalisé que le commercial procure plus de sécurité et plus de support.,Security and privacy
110,25036445,X38,Not yet possible to backup Object store to tape,Backups
111,25042362,X38,"Reliability, cybersecurity",Security and privacy
112,25110280,X38,all of the above,all of the above
113,25166426,X38,"accès à long terme aux données, car contrôlé par prof et non étudiant/postdoc/professionnel de recherche",Long term maitenance
114,25257788,X38,stockage de données sensibles,Storage space
115,25038877,X38,"Have to manage own backups, risky if left to researchers!!!",Backups
116,25139773,X38,Taking backup outside a few times a week. I am not trusting anyone,Backups
117,25232183,X38,Sensitive data of patients,Security and privacy
118,25281424,X38,"persistence of data due to the need to continually request for renewal of space, also security of sensitive data",Storage space
119,25297915,X38,backups,Backups
120,25298132,X38,"Mainly data loss, though have had no issues with Alliance Cloud so far, and we do off-site backups too.",Backups
121,25029523,X38,Aucune sauvegarde,Backups
